sci_name,REVISED_ALTERNATE_COM_NAME
Syndactyla sp.,Syndactyla foliage-gleaner/recurvebill sp.
Automolus sp.,Automolus folieage-gleaner sp.
Cranioleuca sp.,Cranioleuca spinetail sp.
Synallaxis sp.,Synallaxis spinetail sp.
Lepidothrix sp.,Lepidothrix manakin sp.
Heterocercus sp.,Heterocercus manakin sp.
Pipreola sp.,Pipreola fruiteater sp.
Tityra sp.,tityra sp.
Schiffornis sp.,schiffornis sp.
Myiobius sp.,Myiobius flycatcher sp.
Mionectes sp.,Mionectes flycatcher sp.
Phylloscartes sp.,Phylloscartes tyrannulet sp.
Lophotriccus sp.,Lophotriccus pygmy-tyrant sp.
Hemitriccus sp.,Hemitriccus tody-tyrant sp.
Poecilotriccus sp.,Poecilotriccus tody-flycatcher sp.
Todirostrum sp.,Todirostrum tody-flycatcher sp.
Tolmomyias sp.,Tolmomyias flycatcher sp.
Anairetes sp.,Anairetes tit-tyrant sp.
Serpophaga sp.,Serpophaga tyrannulet sp.
Phyllomyias sp.,Phyllomyias tyrannulet sp.
Zimmerius sp.,Zimmerius tyrannulet sp.
Myiophobus sp.,Myiophobus flycatcher sp.
Empidonax sp.,Empidonax flycatcher sp.
Myiotheretes sp.,Myiotheretes bush-tyrant sp.
Ramphotrigon sp.,Ramphotrigon flatbill sp.
Myiarchus sp.,Myiarchus flycatcher sp.
Tyrannus sp.,Tyrannus kingbird sp.
Climacteris picumnus,Australian Brown Treecreeper
Climacteridae sp.,australian treecreeper sp.
Meliphaga sp.,Meliphaga honeyeater sp.
Gavicalis sp.,Gavicalis honeyeater sp.
Melipotes sp.,Melipotes honeyeater sp.
Melithreptus sp.,Melithreptus honeyeater sp.
Meliphagidae sp.,Meliphagidae sp.
Coracina sp.,Coracina cuckooshrike sp.
Lalage sp.,Lalage triller/cuckooshrike sp.
Edolisoma sp.,Edolisoma cicadabird sp.
Erpornis zantholeuca,White-bellied Erpornis (White-bellied Yuhina)
Colluricincla sp.,Colluricincla shrikethrush sp.
Pachycephala sp.,Pachycephala whistler sp.
Batis sp.,batis sp.
Vangidae sp.,Vangidae sp.
Aegithina nigrolutea,White-tailed Iora (Marshall's Iora)
Tchagra sp.,tchagra sp.
Rhipidura albogularis,Spot-breasted Fantail (White-spotted Fantail)
Dicrurus hottentottus,Hair-crested Drongo (Spangled Drongo)
Dicrurus bracteatus,Australian Spangled Drongo
Monarcha sp.,Monarcha monarch sp.
Myiagra sp.,Myiagra flycatcher sp.
Cyanocorax sp.,Cyanocorax jay sp.
Aphelocoma sp.,Aphelocoma jay sp.
Urocissa flavirostris,Yellow-billed Blue Magpie
Pica hudsonia,American Magpie
Pica sp.,Pica magpie sp.
Nucifraga hemispila,Spotted Nutcracker (Southern Nutcracker)
Nucifraga multipunctata,Kashmir Nutcracker (Large-spotted Nutcracker)
Pyrrhocorax graculus,Yellow-billed Chough (Alpine Chough)
Corvus corax,Common Raven (Northern Raven)
Melanocharis sp.,Melanocharis berrypecker sp.
Petroica sp.,Petroica robin sp.
Microeca/Devioeca/Kempiella sp.,Microeca flycatcher/flyrobin sp.
Chelidorhynx hypoxanthus,Yellow-bellied Fantail
Periparus rufonuchalis,Rufous-naped Tit (Black-breasted Tit)
Pseudopodoces humilis,Ground Tit (Groundpecker)
Parus major,European Great Tit
Parus major [major Group],European Great Tit (European)
Parus major [bokharensis Group],European Great Tit (Turkestan)
Parus cinereus,Cinereous Tit
Parus cinereus [cinereus Group],Cinereous Tit (Great Tit)
Parus cinereus [minor Group],Cinereous Tit (Japanese)
Parus cinereus commixtus,Cinereous Tit (commixtus)
Parus cinereus amamiensis,Cinereous Tit (Amami)
Parus cinereus okinawae,Cinereous Tit (Okinawa)
Parus cinereus nigriloris,Cinereous Tit (Ishigaki)
Parus major/cinereus,Great/Cinereous Tit
Parus sp.,Parus tit sp.
Machlolophus nuchalis,White-naped Tit (Pied Tit)
Paridae sp.,parid tit sp.
Ammomanes sp.,Ammomanes lark sp.
Eremopterix griseus,Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark)
Plocealauda erythroptera,Indian Bushlark (Red-winged Bushlark)
Plocealauda/Mirafra sp.,Plocealauda/Mirafra bushlark sp.
Mirafra sp.,Mirafra bushlark sp.
Galerida deva,Tawny Lark (Sykes's Lark)
Calandrella sp.,Calandrella lark sp.
Alaudala heinei,Turkestan Short-toed Lark (Lesser Short-toed Lark)
Alaudala sp.,Alaudala lark sp.
Calandrella/Alaudala sp.,Calandrella/Alaudala lark sp.
Eremomela sp.,eremomela sp.
Camaroptera sp.,camaroptera sp.
Apalis sp.,apalis sp.
Prinia crinigera,Himalayan Prinia (Striated Prinia)
Prinia lepida,Delicate Prinia (Indian Graceful Prinia)
Cisticola exilis,Golden-headed Cisticola (Bright-headed Cisticola)
Iduna sp.,Iduna warbler sp.
Hippolais sp.,Hippolais warbler sp.
Acrocephalus stentoreus,Clamorous Reed Warbler (Indian Great Reed Warbler)
Acrocephalus sp.,Acrocephalus warbler sp.
Iduna/Hippolais/Acrocephalus sp.,Iduna/Hippolais/Acrocephalus warbler sp.
Helopsaltes sp.,Helopsaltes warbler sp.
Locustella sp.,Locustella warbler sp.
Helopsaltes/Locustella sp.,Helopsaltes/Locustella warbler sp.
